pid,bc,yds
655825,AP-0700,3
655827,TB-2650,6
655831,AP-0700,-1
655832,TB-2650,2
655834,AP-0700,9
655835,AP-0700,0
655836,AP-0700,4
655837,JM-3450,0
655839,AP-0700,4
655853,MS-4100,9
655865,AP-0700,19
655866,MA-1150,6
655867,JM-3450,3
655868,TB-2650,-2
655873,MF-1300,5
655874,MF-1300,1
655877,MF-1300,2
655878,MF-1300,0
655881,CJ-1700,8
655882,CJ-1700,3
655884,DJ-1325,0
655886,KW-1250,3
655888,MF-1300,1
655892,JR-2800,5
655897,CJ-1700,1
655901,CJ-1700,5
655905,JC-6200,10
655906,JL-0280,6
655908,JC-6200,8
655909,JL-0280,2
655910,JL-0280,6
655911,JC-6200,6
655913,JL-0280,2
655914,JL-0280,4
655916,JL-0280,1
655919,DJ-1325,2
655925,CJ-1700,0
655927,CJ-1700,5
655928,CJ-1700,3
655932,MF-1300,1
655936,MF-1300,4
655937,MF-1300,4
655939,MF-1300,14
655940,MF-1300,1
655954,MF-1300,-2
655957,MF-1300,0
655960,CJ-1700,4
655964,MF-1300,2
655969,CJ-1700,3
655970,CJ-1700,8
655971,CJ-1700,1
655976,CJ-1700,1
655977,DJ-1325,13
655981,MF-1300,27
655982,JR-2800,3
655984,JC-3100,-5
655988,CJ-1700,3
655989,CJ-1700,4
656000,CJ-1700,7
656002,DJ-1325,14
656003,DJ-1325,13
656004,CJ-1700,-1
656009,JC-3100,0
656010,MF-1300,1
656015,CJ-1700,5
656018,CJ-1700,3
656019,CJ-1700,4
656020,CJ-1700,5
656032,CP-0500,-1
656033,CP-0500,-1
656035,LM-1000,4
656036,TT-0500,23
656037,LM-1000,15
656040,LM-1000,8
656041,LM-1000,4
656042,KW-1150,2
656044,KW-1150,2
656051,LM-1000,-1
656069,DL-1700,6
656072,LM-1000,2
656073,LM-1000,-1
656077,DL-1700,5
656083,LM-1000,-1
656091,KW-1150,2
656096,JE-0100,12
656098,DL-1700,3
656114,BB-2250,1
656119,LM-1000,12
656122,LM-1000,2
656123,TT-0500,4
656124,PH-0400,7
656129,TB-2300,-1
656140,DL-1700,13
656142,DL-1700,10
656149,LM-1000,18
656158,DA-0900,3
656160,DL-1700,2
656162,DL-1700,1
656180,KW-1150,6
656181,KW-1150,7
656185,LM-1000,5
656186,TT-0500,4
656187,KW-1150,2
656199,LM-1000,12
656201,LM-1000,6
656203,TT-0500,5
656205,LM-1000,4
656206,TT-0500,7
656220,LB-0500,0
656221,LB-0500,4
656225,TB-2300,-1
656226,TB-2300,-2
656236,MG-1150,26
656238,MG-1150,0
656239,MG-1150,7
656241,MG-1150,5
656242,MG-1150,0
656246,JH-4025,1
656247,JH-4025,9
656249,GB-0350,9
656250,JH-4025,5
656251,JH-4025,6
656252,MG-1150,1
656253,DW-4300,7
656256,AD-0100,3
656257,JH-4025,2
656258,MJ-2250,3
656260,GB-0350,12
656261,GB-0350,2
