pid,qtr,min,sec,dwn,yds,pts,player,type
663764,4,8,30,2,1,7,DM-0450,RUSH
663788,4,1,10,1,5,7,AR-1250,REC
663823,1,3,39,2,6,7,BW-0700,REC
663845,2,11,52,1,41,7,JH-5750,REC
663905,3,6,49,1,2,7,RM-1200,RUSH
663909,3,6,36,1,13,6,BC-0700,REC
663961,4,3,48,1,4,7,DM-4300,RUSH
663977,4,0,4,4,14,7,BC-2325,REC
663995,1,8,35,2,1,7,JF-1900,RUSH
664014,1,0,23,1,8,7,KJ-1400,REC
664078,3,7,50,3,1,7,JF-1900,RUSH
664095,3,1,14,2,10,7,JM-2900,RUSH
664107,4,12,29,3,18,6,GB-0200,REC
664126,4,6,0,2,1,6,JF-2800,RUSH
664137,4,3,15,2,22,8,IC-0300,REC
664184,1,12,16,3,31,7,TM-3150,REC
664216,1,1,2,3,45,7,QR-0100,INT
664237,2,7,16,2,5,7,TA-1050,REC
664268,3,12,52,2,65,7,JJ-4200,REC
664435,3,6,54,2,1,7,AA-1350,RUSH
664447,3,1,29,2,22,7,TT-0500,RUSH
664474,4,5,30,3,2,7,CH-3350,REC
664520,1,2,27,1,6,7,TR-0370,REC
664527,2,15,0,2,14,7,DF-0550,REC
664538,2,11,1,1,4,7,DJ-1325,RUSH
664557,2,3,16,1,2,7,DJ-1325,RUSH
664566,2,2,13,3,18,7,JB-6950,REC
664594,3,6,31,1,2,7,LF-0200,REC
664626,4,10,31,2,63,7,AE-0750,RUSH
664662,4,1,36,2,13,7,LM-1500,REC
664731,2,3,42,1,1,7,TB-2300,RUSH
664762,3,9,55,1,10,7,DL-1700,REC
664788,4,13,10,2,59,7,JE-0100,REC
664873,2,9,42,2,3,7,MR-0500,REC
664960,4,7,5,3,74,7,CH-1500,INT
665029,2,12,20,3,2,7,SV-0200,REC
665088,3,8,6,2,3,7,AB-2000,REC
665107,3,1,27,1,17,7,OB-0075,REC
665121,4,11,53,3,5,7,GC-0350,REC
665147,4,1,49,2,2,7,CH-5000,RUSH
665158,4,0,26,1,12,7,LD-0650,REC
665175,1,9,55,2,12,7,AG-0500,REC
665269,3,3,36,3,70,7,AB-1950,INT
665296,4,8,7,2,11,7,AG-0500,REC
665299,4,7,55,1,72,7,MW-1250,REC
