pid,psr,trg,yds,comp
653785,CP-0500,JG-3700,4,1
653786,CP-0500,JN-0625,0,0
653787,CP-0500,LF-0200,10,1
653788,CP-0500,LF-0200,0,0
653795,DB-3800,MC-2400,6,1
653796,DB-3800,MC-2400,0,0
653797,CP-0500,LF-0200,29,1
653800,CP-0500,DF-0550,0,0
653804,DB-3800,KR-1050,7,1
653805,DB-3800,BC-2325,30,1
653806,DB-3800,BW-0700,0,0
653807,DB-3800,MC-2400,14,1
653808,DB-3800,BC-2325,0,0
653810,DB-3800,BW-0700,0,0
653819,CP-0500,DF-0550,17,1
653822,DB-3800,WS-0925,0,0
653823,DB-3800,BC-1850,6,1
653824,DB-3800,MI-0100,59,1
653827,DB-3800,MI-0100,0,1
653830,CP-0500,LF-0200,9,1
653833,CP-0500,LF-0200,22,1
653836,CP-0500,JB-6950,0,0
653838,DB-3800,MI-0100,4,1
653839,DB-3800,MC-2400,0,0
653840,DB-3800,MC-2400,0,0
653843,CP-0500,DJ-1325,55,1
653846,DB-3800,BC-1850,19,1
653847,DB-3800,WS-0925,0,0
653848,DB-3800,MI-0100,-4,1
653849,DB-3800,BC-2325,0,0
653850,DB-3800,BC-1850,0,0
653854,MS-4100,GT-0100,11,1
653856,MS-4100,AA-0025,0,1
653857,MS-4100,CJ-1100,28,1
653858,MS-4100,LM-1500,0,0
653859,MS-4100,JB-2700,9,1
653863,PR-0300,KA-0650,5,1
653867,MS-4100,CJ-1100,0,0
653869,MS-4100,EE-0050,0,0
653871,PR-0300,MG-1150,9,1
653875,PR-0300,SJ-0600,6,1
653876,PR-0300,MG-1150,2,1
653879,PR-0300,KA-0650,21,1
653880,PR-0300,DW-4300,1,1
653882,PR-0300,DW-4300,0,0
653886,MS-4100,,0,0
653890,PR-0300,KA-0650,3,1
653891,PR-0300,KA-0650,0,0
653894,PR-0300,KA-0650,3,1
653896,PR-0300,DW-4300,0,0
653900,MS-4100,LM-1500,22,1
653901,MS-4100,EE-0050,18,1
653905,PR-0300,KA-0650,19,1
653907,PR-0300,LG-0750,19,1
653916,MS-4100,BP-0600,0,0
653917,MS-4100,GT-0100,6,1
653923,PR-0300,MF-0800,29,1
653924,PR-0300,LG-0750,22,1
653926,PR-0300,LG-0750,0,0
653927,PR-0300,SJ-0600,9,1
653928,PR-0300,DW-4300,7,1
653929,PR-0300,MF-0800,0,0
653932,PR-0300,DW-4300,0,0
653933,PR-0300,KA-0650,20,1
653934,PR-0300,KA-0650,0,0
653935,PR-0300,KA-0650,12,1
653936,PR-0300,SJ-0600,7,1
653938,PR-0300,MG-1150,5,1
653939,PR-0300,DW-4300,15,1
653941,PR-0300,LG-0750,-1,1
653942,PR-0300,KA-0650,8,1
653945,MS-4100,AA-0025,36,1
653946,MS-4100,GT-0100,6,1
653947,MS-4100,GT-0100,0,0
653948,MS-4100,,0,0
653949,PR-0300,KA-0650,15,1
653953,MS-4100,AA-0025,-3,1
653954,MS-4100,GT-0100,0,0
653957,PR-0300,SJ-0600,12,1
653960,MS-4100,AA-0025,11,1
653962,MS-4100,GT-0100,1,1
653966,PR-0300,BO-0150,17,1
653968,PR-0300,DW-4300,-3,1
653969,PR-0300,KA-0650,15,1
653971,PR-0300,LG-0750,21,1
653972,PR-0300,LG-0750,13,1
653976,MS-4100,JB-2700,18,1
653979,MS-4100,CJ-1100,0,0
653981,MS-4100,GT-0100,0,0
653983,PR-0300,KA-0650,7,1
653984,PR-0300,KA-0650,11,1
